appName,link,tags
Deep Rock Galactic,https://store.steampowered.com/app/548430/Deep_Rock_Galactic,"Co-op,PvE,FPS,Exploration,Procedural Generation,Shooter,Loot,Class-Based,First-Person,Sci-fi,Space,Action,Looter Shooter,Atmospheric,Combat,Horror,Survival,Action Roguelike,Dark,Open World"
Chivalry 2,https://store.steampowered.com/app/1824220/Chivalry_2,"Medieval,Multiplayer,Swordplay,Action,Combat,First-Person,Wargame,Hack and Slash,War,FPS,3D,Third Person,Military,Atmospheric,Comedy,Historical,Gore,3D Fighter,Tactical,Character Customization"
Farlight 84,https://store.steampowered.com/app/1928420/Farlight_84,"Battle Royale,Free to Play,Hero Shooter,Vehicular Combat,Sci-fi,Early Access,MOBA,Shooter,Third-Person Shooter,Multiplayer,Massively Multiplayer,Third Person,3D,Adventure,Post-apocalyptic,PvP,Action,Survival,Futuristic,Character Customization"
A Plague Tale: Requiem,https://store.steampowered.com/app/1182900/A_Plague_Tale_Requiem,"Adventure,Action,Action-Adventure,Exploration,Interactive Fiction,Cinematic,3D,Third Person,Realistic,Atmospheric,Alternate History,Dark,Emotional,Female Protagonist,Drama,Medieval,Historical,Singleplayer,Mystery,Narration"
EVE Online,https://store.steampowered.com/app/8500/EVE_Online,"Space,Free to Play,RPG,Open World,Sci-fi,PvP,Sandbox,Massively Multiplayer,Strategy,Multiplayer,Economy,Action,Character Customization,Exploration,War,Spaceships,MMORPG,Politics,Lore-Rich,PvE"
Divinity: Original Sin 2 - Definitive Edition,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition,"Tactical RPG,RPG,Turn-Based Strategy,Story Rich,Exploration,Fantasy,CRPG,Party-Based RPG,Character Customization,Strategy RPG,PvP,Female Protagonist,Co-op Campaign,Local Co-Op,Isometric,Choices Matter,Romance,Strategy,Moddable,Funny"
Russian Fishing 4,https://store.steampowered.com/app/766570/Russian_Fishing_4,"Fishing,Free to Play,Simulation,Multiplayer,Nature,Realistic,Immersive Sim,Crafting,Relaxing,First-Person,Sports,Atmospheric,Singleplayer,Open World,Survival,Massively Multiplayer,Casual,Adventure,RPG,Family Friendly"
Path of Exile,https://store.steampowered.com/app/238960/Path_of_Exile,"Free to Play,Action RPG,Hack and Slash,RPG,Multiplayer,Loot,Dungeon Crawler,Massively Multiplayer,Character Customization,Inventory Management,MMORPG,Action,Fantasy,Isometric,Adventure,Singleplayer,Online Co-Op,PvP,Co-op,Horror"
Dead Cells,https://store.steampowered.com/app/588650/Dead_Cells,"Adventure,Action Roguelike,Pixel Graphics,Metroidvania,2D,Souls-like,Roguelike,Replay Value,Hack and Slash,Roguelite,Platformer,Singleplayer,Roguevania,Action,Difficult,Atmospheric,Dark Fantasy,Procedural Generation,Funny,Indie"
7 Days to Die,https://store.steampowered.com/app/251570/7_Days_to_Die,"Survival,Zombies,Open World,Multiplayer,Open World Survival Craft,Voxel,Post-apocalyptic,Base Building,Online Co-Op,Exploration,Building,Sandbox,Simulation,FPS,Strategy,Character Customization,Tower Defense,Action,Procedural Generation,Early Access"
Aliens: Dark Descent,https://store.steampowered.com/app/1150440/Aliens_Dark_Descent,"Action,Strategy,Tactical,RTS,Sci-fi,Action-Adventure,Singleplayer,Dark,3D,Space,Survival,Aliens,Horror,Violent,Real Time Tactics,Combat,Top-Down,Stealth,Isometric,Multiplayer"
Stellaris,https://store.steampowered.com/app/281990/Stellaris,"Space,Grand Strategy,Strategy,Sci-fi,4X,Exploration,Sandbox,Simulation,Multiplayer,Real-Time with Pause,Moddable,Singleplayer,Diplomacy,Management,Futuristic,Military,Replay Value,Atmospheric,Great Soundtrack,Procedural Generation"
Scorn,https://store.steampowered.com/app/698670/Scorn,"Gore,Horror,Atmospheric,Puzzle,First-Person,Nudity,Sexual Content,Dark,Adventure,Psychological Horror,Violent,Singleplayer,Lovecraftian,Walking Simulator,Sci-fi,Indie,Surreal,Action,Survival Horror,FPS"
Brotato,https://store.steampowered.com/app/1942280/Brotato,"Action Roguelike,Roguelite,Bullet Hell,Arena Shooter,Top-Down Shooter,2D,Casual,RPG,Top-Down,Action,Post-apocalyptic,Procedural Generation,Hand-drawn,Funny,Aliens,Cartoony,Controller,Combat,Perma Death,Cute"
Soulstone Survivors,https://store.steampowered.com/app/2066020/Soulstone_Survivors,"Early Access,Action Roguelike,Action RPG,Bullet Hell,Roguelite,Arcade,Top-Down,Procedural Generation,Action,Roguelike,Score Attack,Colorful,Controller,Dark Fantasy,Twin Stick Shooter,RPG,Singleplayer,Crafting,Character Customization,Hack and Slash"
HITMAN 3,https://store.steampowered.com/app/1659040/HITMAN_3,"Action,Stealth,Assassin,Sandbox,Singleplayer,VR,Violent,Adventure,Shooter,Third-Person Shooter,Third Person,Realistic,Cinematic,Funny,Puzzle,Gore,Immersive Sim,Open World,Capitalism,Multiplayer"
Scrap Mechanic,https://store.steampowered.com/app/387990/Scrap_Mechanic,"Building,Sandbox,Open World,Survival,Multiplayer,Physics,Crafting,Base Building,Co-op,Singleplayer,First-Person,Adventure,Third Person,Funny,Simulation,Early Access,Action,Indie,Moddable,Online Co-Op"
Cities: Skylines II,https://store.steampowered.com/app/949230/Cities_Skylines_II,"Simulation,City Builder,Building,Singleplayer,Strategy,Multiplayer,Sandbox,Management,Economy,Realistic,Moddable,Atmospheric,Casual"
Left 4 Dead 2,https://store.steampowered.com/app/550/Left_4_Dead_2,"Zombies,Co-op,FPS,Multiplayer,Shooter,Online Co-Op,Action,Survival,Horror,First-Person,Gore,Team-Based,Moddable,Survival Horror,Post-apocalyptic,Singleplayer,Adventure,Local Co-Op,Replay Value,Tactical"
Gunfire Reborn,https://store.steampowered.com/app/1217060/Gunfire_Reborn,"Roguelite,FPS,Online Co-Op,Co-op,Roguelike,Multiplayer,Looter Shooter,Indie,Action,Adventure,RPG,Shooter,Action Roguelike,First-Person,Dungeon Crawler,Replay Value,Early Access,Singleplayer,Fast-Paced,Loot"
Wartales,https://store.steampowered.com/app/1527950/Wartales,"RPG,Open World,Turn-Based Strategy,Party-Based RPG,Medieval,Co-op,Adventure,Strategy,Singleplayer,Multiplayer,Turn-Based Combat,Exploration,Tactical RPG,Survival,Sandbox,Story Rich,Turn-Based,Indie,Online Co-Op,Violent"
SMITE®,https://store.steampowered.com/app/386360/SMITE,"Free to Play,MOBA,Multiplayer,Anime,Action,Third Person,Mythology,MMORPG,Nostalgia,Team-Based,Competitive,PvP,Strategy,Co-op,Massively Multiplayer,Open World,eSports,RPG,Adventure,Casual"
Train Sim World® 3,https://store.steampowered.com/app/1944790/Train_Sim_World_3,"Simulation,Trains,Driving,Realistic,Singleplayer,Transportation,First-Person,Relaxing,Physics,Family Friendly,Immersive Sim,Atmospheric,Multiplayer,Automobile Sim,Open World,Story Rich,Mature,Adventure,Psychological Horror,Survival Horror"
Rising Storm 2: Vietnam,https://store.steampowered.com/app/418460/Rising_Storm_2_Vietnam,"FPS,War,Realistic,Military,Multiplayer,Shooter,Tactical,Action,First-Person,Historical,Team-Based,Simulation,Gore,Cold War,Atmospheric,Singleplayer,Massively Multiplayer,Violent,Strategy,Indie"
The Surge 2,https://store.steampowered.com/app/644830/The_Surge_2,"Souls-like,RPG,Action,Open World,Violent,Sci-fi,Difficult,Singleplayer,Third Person,Cyberpunk,Character Customization,Multiplayer,Gore,Mechs,Hack and Slash,Action RPG,Female Protagonist,Robots,Nudity,Co-op"
Stray,https://store.steampowered.com/app/1332010/Stray,"Cats,Adventure,Cyberpunk,Atmospheric,Cute,Singleplayer,Exploration,Robots,Third Person,Beautiful,Puzzle,Horror,Sci-fi,Indie,Dystopian,Open World,Mystery,Colorful,Action,Stealth"
UNDECEMBER,https://store.steampowered.com/app/1549250/UNDECEMBER,"RPG,Hack and Slash,Multiplayer,Action RPG,Action,Dark Fantasy,Free to Play,Top-Down,Online Co-Op,Co-op,Third Person,Fantasy,Singleplayer,Loot,PvE,Cinematic,Character Customization,PvP,Realistic,Isometric"
Tower of Fantasy,https://store.steampowered.com/app/2064650/Tower_of_Fantasy,"MMORPG,RPG,Anime,Action,Action-Adventure,Open World,Action RPG,3D Platformer,Cinematic,Cartoony,Drama,Sci-fi,Post-apocalyptic,Futuristic,Cyberpunk,Free to Play,Massively Multiplayer,Character Customization,Story Rich,Bullet Time"
Satisfactory,https://store.steampowered.com/app/526870/Satisfactory,"Base Building,Automation,Open World,Multiplayer,Crafting,Co-op,Resource Management,Building,Sandbox,Exploration,Adventure,Early Access,Open World Survival Craft,Simulation,Survival,Strategy,First-Person,Sci-fi,Singleplayer,Indie"
Empires of the Undergrowth,https://store.steampowered.com/app/463530/Empires_of_the_Undergrowth,"Strategy,Simulation,Base Building,City Builder,Colony Sim,Building,Management,Survival,Sandbox,Resource Management,RTS,Moddable,Open World,Economy,Singleplayer,Crafting,Automation,2D,Early Access,Replay Value"
Lost Light,https://store.steampowered.com/app/1797880/Lost_Light,"Free to Play,Shooter,Survival,Multiplayer,Action,Massively Multiplayer,Battle Royale,Third-Person Shooter,Gun Customization,PvP,FPS,Third Person,3D,Looter Shooter,Post-apocalyptic,Open World,Sandbox,War,Controller,Zombies"
DEVOUR,https://store.steampowered.com/app/1274570/DEVOUR,"Horror,Online Co-Op,Multiplayer,Survival Horror,Co-op,Sexual Content,Psychological Horror,Dark,Survival,First-Person,Atmospheric,Indie,Difficult,Puzzle,Singleplayer,Gore,VR,Violent,Stealth,Action"
Fishing Planet,https://store.steampowered.com/app/380600/Fishing_Planet,"Fishing,Free to Play,Multiplayer,Simulation,Sports,Relaxing,Realistic,Massively Multiplayer,First-Person,Co-op,Open World,Singleplayer,Online Co-Op,Family Friendly,Adventure,Casual,VR,Action,MMORPG,FPS"
Will To Live Online,https://store.steampowered.com/app/707010/Will_To_Live_Online,"Survival,Multiplayer,Open World,Free to Play,Post-apocalyptic,Open World Survival Craft,Massively Multiplayer,FPS,MMORPG,Shooter,Action,Crafting,First-Person,RPG,Early Access,Exploration,Atmospheric,Gore,Indie,Violent"
Pummel Party,https://store.steampowered.com/app/880940/Pummel_Party,"Multiplayer,Funny,Online Co-Op,4 Player Local,Board Game,Party Game,Casual,Local Multiplayer,Co-op,Minigames,Party,Local Co-Op,Action,Indie,Comedy,Tabletop,Controller,Gore,Colorful,Singleplayer"
The Beast Inside,https://store.steampowered.com/app/792300/The_Beast_Inside,"Horror,Adventure,Action,Survival Horror,First-Person,Multiplayer,Singleplayer,Indie,Survival,Story Rich,Psychological Horror,Violent,Atmospheric,Gore,Walking Simulator,Exploration,Open World,Realistic,Great Soundtrack,Co-op"
Killing Floor,https://store.steampowered.com/app/1250/Killing_Floor,"FPS,Zombies,Co-op,Survival,Horror,Action,Multiplayer,Online Co-Op,Gore,Shooter,Team-Based,First-Person,Survival Horror,Moddable,Great Soundtrack,Class-Based,Singleplayer,Difficult,Comedy,Adventure"
Brick Rigs,https://store.steampowered.com/app/552100/Brick_Rigs,"Sandbox,Destruction,Building,Multiplayer,Open World,LEGO,Family Friendly,Physics,Driving,Simulation,Funny,Early Access,Racing,Action,First-Person,Zombies,Singleplayer,FPS,Gun Customization,Flight"
LEGO® Bricktales,https://store.steampowered.com/app/1898290/LEGO_Bricktales,"Relaxing,LEGO,Puzzle,Building,Sandbox,Isometric,Funny,Adventure,Simulation,Colorful,Controller,Physics,Casual,3D,Atmospheric,Comedy,Exploration,Family Friendly,Narration,Singleplayer"
Geometry Dash,https://store.steampowered.com/app/322170/Geometry_Dash,"Difficult,Music,Great Soundtrack,Precision Platformer,Level Editor,Rhythm,2D,Colorful,Singleplayer,Platformer,Character Customization,Arcade,Indie,Side Scroller,Action,Funny,Family Friendly,Casual,Strategy,Adventure"
Punch Club 2: Fast Forward,https://store.steampowered.com/app/1161590/Punch_Club_2_Fast_Forward,"Time Management,Resource Management,Martial Arts,Adventure,Cyberpunk,Management,Sports,Tactical RPG,Pixel Graphics,Strategy RPG,Turn-Based Tactics,Nostalgia,RPG,1980s,1990's,Life Sim,Funny,Arcade,Combat,Retro"
American Truck Simulator,https://store.steampowered.com/app/270880/American_Truck_Simulator,"Automobile Sim,Driving,Open World,Transportation,Simulation,America,Realistic,Moddable,Relaxing,Exploration,Economy,Atmospheric,Management,Immersive Sim,Multiplayer,Singleplayer,Adventure,Casual,Family Friendly,Level Editor"
Halls of Torment,https://store.steampowered.com/app/2218750/Halls_of_Torment,"Early Access,Bullet Hell,Dark Fantasy,Action,RPG,Roguelike,Action RPG,Arcade,2D Fighter,Hack and Slash,Arena Shooter,2.5D,2D,Isometric,Pixel Graphics,Atmospheric,Top-Down,Dark,Demons,Fantasy"
Vampire Survivors,https://store.steampowered.com/app/1794680/Vampire_Survivors,"Action Roguelike,Bullet Hell,Pixel Graphics,Roguelite,2D,Indie,Singleplayer,Vampire,Casual,Action,Arcade,RPG,Controller,Retro,Score Attack,Action RPG,Roguelike,Dark Fantasy,Early Access,1980s"
BONELAB,https://store.steampowered.com/app/1592190/BONELAB,"VR,Physics,Sandbox,Action,Shooter,FPS,First-Person,Action-Adventure,Violent,Underground,Experimental,Psychological,Combat,Puzzle,Dark,Indie,Story Rich,Female Protagonist,Singleplayer,Atmospheric"
Beat Saber,https://store.steampowered.com/app/620980/Beat_Saber,"VR,Rhythm,Music,Moddable,Fast-Paced,Indie,First-Person,Singleplayer,Difficult,Multiplayer,Swordplay,Action,Sports,Futuristic,Casual,Music-Based Procedural Generation,Games Workshop,PvP,Early Access,Great Soundtrack"
Battle Brothers,https://store.steampowered.com/app/365360/Battle_Brothers,"Tactical RPG,Turn-Based Combat,Strategy,Medieval,RPG,Open World,Sandbox,Turn-Based Strategy,Replay Value,Procedural Generation,Roguelite,Perma Death,Difficult,Turn-Based,Tactical,Turn-Based Tactics,Fantasy,Character Customization,2D,CRPG"
Portal 2,https://store.steampowered.com/app/620/Portal_2,"Platformer,Puzzle,Dark Humor,First-Person,Story Rich,Puzzle Platformer,Funny,Female Protagonist,3D Platformer,Action-Adventure,Action,FPS,Co-op,Physics,Sci-fi,Level Editor,Science,Comedy,Atmospheric,Adventure"
Deadside,https://store.steampowered.com/app/895400/Deadside,"Survival,Open World,Multiplayer,Open World Survival Craft,Massively Multiplayer,Base Building,Action,Post-apocalyptic,Crafting,Adventure,Shooter,PvP,FPS,Realistic,Singleplayer,Early Access,First-Person,Indie,Violent,Gore"
JoJo's Bizarre Adventure: All-Star Battle R,https://store.steampowered.com/app/1372110/JoJos_Bizarre_Adventure_AllStar_Battle_R,"Anime,Action,Fighting,PvP,Multiplayer,2D Fighter,3D Fighter,Memes,2D,Great Soundtrack,3D,Colorful,Story Rich,Violent,2.5D,2D Platformer,Local Co-Op,Controller,LGBTQ+,Family Friendly"
Cult of the Lamb,https://store.steampowered.com/app/1313140/Cult_of_the_Lamb,"Base Building,Action Roguelike,Character Customization,Cute,Singleplayer,Roguelite,Dungeon Crawler,Dark Humor,Colony Sim,Building,Action,2D,Adventure,Funny,Faith,Fantasy,Controller,Strategy,Colorful,Third Person"
The Long Dark,https://store.steampowered.com/app/305620/The_Long_Dark,"Survival,Open World Survival Craft,Open World,Exploration,Atmospheric,First-Person,Singleplayer,Adventure,Crafting,Sandbox,Simulation,Post-apocalyptic,Indie,Walking Simulator,Survival Horror,Strategy,Difficult,Action,Early Access,Horror"
SCUM,https://store.steampowered.com/app/513710/SCUM,"Survival,Open World Survival Craft,Multiplayer,Open World,Zombies,Massively Multiplayer,Nudity,Action,Early Access,Adventure,Realistic,Crafting,Singleplayer,FPS,Violent,PvP,Gore,Third Person,Indie,RPG"
Propnight,https://store.steampowered.com/app/1549180/Propnight,"Multiplayer,Horror,Action,Survival Horror,Online Co-Op,PvP,Co-op,3D,First-Person,Third Person,Stylized,Combat,Asynchronous Multiplayer,Funny,Survival,Casual,Adventure,Controller,Sexual Content,Indie"
Endzone - A World Apart,https://store.steampowered.com/app/933820/Endzone__A_World_Apart,"City Builder,Strategy,Survival,Post-apocalyptic,Simulation,Base Building,Indie,Building,Colony Sim,Sandbox,Management,Singleplayer,Resource Management,Economy,Real-Time,Difficult,Procedural Generation,Realistic,Atmospheric,Early Access"
